NodeID,SpeakerName,Text,TypingSpeed,ShowImage,AutoNext,JumpMode,NextNodeID
N001,云柒,你好，这里是云柒,30,TRUE,TRUE,ManualClick,N002
N002,云柒,在寒假没事干的时候，突然想使用unity来制作视觉小说,30,TRUE,TRUE,ManualClick,N003
N003,云柒,也就是俗称的galgame,30,TRUE,TRUE,ManualClick,N004
N004,云柒,但是我的开发知识已经忘干净了,30,TRUE,TRUE,ManualClick,N005
N005,云柒,所以我决定在ai的帮助下进行游戏开发,30,TRUE,TRUE,ManualClick,N006
N006,云柒,现在，让我为大家介绍一下两个帮手,30,TRUE,TRUE,ManualClick,N007
N007,云柒,豆包跟GPT,30,TRUE,TRUE,ManualClick,N008
N008,豆包,我是豆包，是字节跳动公司基于自研的 Seed 大模型基座独立研发训练的人工智能，能为你提供多方面的信息解答和能力支持～,30,TRUE,TRUE,ManualClick,N009
N009,GPT,我是GPT（生成式预训练变换器，Generative Pre-trained Transformer）是由OpenAI 等机构发展的一类大型语言模型，能理解和生成自然语言与代码。,30,TRUE,TRUE,ManualClick,N010
N010,云柒,这就是我在开发时的两位助手,30,TRUE,TRUE,ManualClick,N011
N011,云柒,目前对话系统在两个ai的帮助下已经实现了两个功能,30,TRUE,TRUE,ManualClick,N012
N012,云柒,例如说展示立绘,30,TRUE,TRUE,ManualClick,N013
N013,云柒,进行线性对话,30,TRUE,TRUE,ManualClick,N014
N014,云柒,仅仅是实现这两个功能就很费劲了,30,TRUE,TRUE,ManualClick,N015
N015,云柒,而这两个功能,30,TRUE,TRUE,ManualClick,N016
N016,云柒,足足用了15个脚本#苦笑,30,TRUE,TRUE,ManualClick,N017
N017,云柒,而问题远远不止这些,30,TRUE,TRUE,ManualClick,N018
N018,云柒,豆包属于是我能写出代码，能跑出功能来,30,TRUE,TRUE,ManualClick,N019
N019,云柒,写这些之就把你之前的功能写没了,30,TRUE,TRUE,ManualClick,N020
N020,云柒,GPT是只能提意见，这个地方能用什么实现，改不了大篇幅代码（受制于某些原因）,30,TRUE,TRUE,ManualClick,N021
N021,云柒,于是乎就写出来一堆不可名状的代码,30,TRUE,TRUE,ManualClick,N022
N022,云柒,例如说一个方法中对一个变量三次检查是否为空,30,TRUE,TRUE,ManualClick,N023
N023,豆包,我要仔细验牌,30,TRUE,TRUE,ManualClick,N024
N024,云柒,还有在设置图片位置时变量左手倒右手，右手倒左手，最后弄不出去直接弄个默认值给我糊弄上去了,30,TRUE,TRUE,ManualClick,N025
N025,云柒,这种小错误出的很多,30,TRUE,TRUE,ManualClick,N026
N026,云柒,但是起码能跑，我觉得还是要夸奖一下的,30,TRUE,TRUE,ManualClick,N027
N027,豆包,感谢您的夸奖,30,TRUE,TRUE,ManualClick,N028
N028,云柒,您是真不客气,30,TRUE,TRUE,ManualClick,N029
N029,云柒,豆包的神鬼二相性我是真的不敢恭维,30,TRUE,TRUE,ManualClick,N030
N030,云柒,所以在后面开发的时候我必须明确我需要的功能，尽量描述清楚,30,TRUE,TRUE,ManualClick,N031
N031,云柒,就像这个对话系统，我们需要什么功能哩？,30,TRUE,TRUE,ManualClick,N032
N032,云柒,比如说现在的对话，我的任务立绘能不能控制位置,30,TRUE,TRUE,ManualClick,N033
N033,云柒,等等等等，我目前是一头雾水,30,TRUE,TRUE,ManualClick,N034
N034,云柒,GPT，针对于使用unity制作视觉小说的对话系统，我应该实现哪些功能，优先做什么功能？,30,TRUE,TRUE,ManualClick,N035
N035,GPT,核心功能（优先级：高 — 必须先做）,30,TRUE,TRUE,ManualClick,N036
N036,GPT,1.文本显示系统：支持逐字（或逐字符）打字效果、控制速度、立即显示（跳过/快进）,30,TRUE,TRUE,ManualClick,N037
N037,GPT,2.对话框与角色名显示：可配置位置/样式、支持不同角色名显示与颜色,30,TRUE,TRUE,ManualClick,N038
N038,GPT,3.分支选择（分支对话/分支选项）支持多个选项、返回选项结果、界面可定制,30,TRUE,TRUE,ManualClick,N039
